supplier,supplier_clean,diff
"Decorlino - Vestuário e Decoração, Unipessoal Lda","decorlino - vestuário e decoração, unipessoal",0.52
"Decorlouças, Louças e Vidros Lda","decorlouças, louças e vidros",0.38
Decotirso-Decorações Lda,decotirso-decorações,0.38
Decunify - Soluções de Comunicações S.A,decunify - soluções de comunicações,0.55
DEEP HEALTH CARE SRL,deep health care,0.35
Deeside Brewery and Distillery,deeside brewery and distillery,0.30
"ООО ""ДЕФЛАЙ""",deflaй,0.17
Дегтярев Геннадий Федорович,degtяrev gennadiй fedorovič,0.24
"ООО ""ДЕКАФАРМ""",dekafarm,0.29
DEKRA Akademie Kft.,dekra akademie kft,0.38
Dektel Solutions SRL,dektel solutions,0.24
"DELAMARIS, organizacija proizvodnje in razvoj izdelkov, d.o.o.","delamaris, organizacija proizvodnje in razvoj izdelkov",0.14
"UAB ""Delamode Baltics""",delamode baltics,0.31
"Delfim Vargas-Fabrico de Caixilharias, Limitada","delfim vargas-fabrico de caixilharias, limitada",0.32
"Delfim, Cardoso & Caldas Lda","delfim, cardoso & caldas",0.42
Delft Medical Solutions — Olfie B.V.,delft medical solutions — olfie,0.36
Delikatessen - Comércio e Reciclagem de Consumíveis de Infor...,delikatessen - comércio e reciclagem de consumíveis de infor,0.29
DELIVERY SOLUTIONS SRL,delivery solutions,0.28
"Delk Pharma, Unipessoal Lda","delk pharma, unipessoal",0.34
Dell AS,dell,0.30
DELL CORPORATION LIMITED,dell corporation limited,0.29
"Dell III - Comércio de Computadores, Unipessoal Lda","dell iii - comércio de computadores, unipessoal",0.34
"ООО ""ДЕЛМЕД""",delmed,0.23
"Deloitte Business Consulting, S.A",deloitte business consulting,0.24
Deloitte LLP,deloitte llp,0.50
Deloitte Savjetodavne Usluge d.o.o.,deloitte savjetodavne usluge,0.50
"Deloitte Technology, S.A",deloitte technology,0.55
"DELOR INTERNATIONAL, spol. s r.o.","delor international, spol. s r.o",0.43
Delorme SAS,delorme sas,0.42
"ООО ""ДЕЛОВАЯ МЕДИЦИНА""",delovaя medicina,0.52
"ООО ""ДЕЛОВОЙ КОНТАКТ""",delovoй kontakt,0.52
"ООО ""ДЕЛОВЫЕ РЕСУРСЫ""",delovыe resursы,0.40
Delta Recruitment,delta recruitment,0.44
Delta Scientifique,delta scientifique,0.63
Delta-Sport Handelskontor GmbH,delta-sport handelskontor,0.42
Delta-Vertrieb GmbH,delta-vertrieb,0.46
DELTAMED,deltamed,0.55
"Deltasom II - Multimedia, Lda",deltasom ii - multimedia,0.50
Deltrian International,deltrian international,0.26
Deluxe Cards,deluxe cards,0.29
Дель Андрей Викторович,delь andreй viktorovič,0.35
"ООО ""ДЕЛЬРУС""",delьrus,0.34
"ООО ""ДЕЛЬРУС (СПБ)""",delьrus (spb),0.70
"ООО ""ДЕЛЬРУС - ЦЕНТР""",delьrus - centr,0.57
"ООО ""ДЕЛЬРУС МРЦ""",delьrus mrc,0.69
"ООО ""ДЕЛЬРУС СП""",delьrus sp,0.76
"ООО ""ДЕЛЬРУС-ДОН""",delьrus-don,0.67
"ООО ""ДЕЛЬРУС-ДВРЦ""",delьrus-dvrc,0.78
"ООО ""ДЕЛЬРУС-НН""",delьrus-nn,0.73
"ООО ""ДЕЛЬРУС-РЕГИОН""",delьrus-region,0.75
"ООО ""ДЕЛЬРУС-СЗРЦ""",delьrus-szrc,0.69
"ООО ""ДЕЛЬРУС-В""",delьrus-v,0.76
"ООО ""ДЕЛЬРУС-ЗУРЦ""",delьrus-zurc,0.76
"ООО ""ДЕЛЬТА""",delьta,0.44
"ООО ""ДЕЛЬТА М""",delьta m,0.86
"ООО ""ДЕЛЬТА ПЛЮС""",delьta plюs,0.74
"ООО ""ДЕЛЬТА ТРЕЙД""",delьta treйd,0.61
"ООО ""ДЕЛЬТАМЕД""",delьtamed,0.76
DEMCON macawi respiratory systems bv,demcon macawi respiratory systems,0.19
"ООО ""ДЕМЕТРА""",demetra,0.30
ДЕМЧЕНКО ЮРІЙ ОЛЕКСІЙОВИЧ,demčenko юrій oleksійovič,0.31
Dencowear Ltd,dencowear ltd,0.26
Денин Денис Юрьевич,denin denis юrьevič,0.31
Denis Fontaine — Clothe-Up Desenvolvimento Textil Unipessoal LDA,denis fontaine — clothe-up desenvolvimento textil unipessoal,0.23
Denka UK Ltd,denka uk ltd,0.19
DENNIS EAGLE LTD,dennis eagle ltd,0.57
Denolga Medical SRL,denolga medical,0.39
"DENTACOM, proizvodnja,trgovina,storitve in inženiring,d.o.o.","dentacom, proizvodnja,trgovina,storitve in inženiring,d.o.o",0.16
"Dental - Medical, trgovanje z medicinskimi pripomočki na debelo, d.o.o.","dental - medical, trgovanje z medicinskimi pripomočki na debelo",0.39
"ООО ""ДЕНТАЛ САЛОН""",dental salon,0.29
Dental Vladmed V&M S.R.L.,dental vladmed v&m,0.53
"ООО ""ДЕНТАЛЬ""",dentalь,0.48
"ООО ""ДЕНТАЛЬ-ПЛЮС""",dentalь-plюs,0.74
"ООО ""ДЕНТЕКС""",denteks,0.53
Deolinda Gonçalves da Silva & Filhos Lda,deolinda gonçalves da silva & filhos,0.23
Deos Group,deos group,0.26
"ООО ""ДЕПАРТАМЕНТ-МС""",departament-ms,0.25
Depofarm SRL,depofarm,0.55
Dera - Sociedade Comercial e Industrial de Máquinas de Trans...,dera - sociedade comercial e industrial de máquinas de trans,0.12
Дербасов Михаил Владимирович,derbasov mihail vladimirovič,0.16
DERBY TRADE D.O.O,derby trade,0.36
Dermia a.s.,dermia,0.47
DERMIA - Areál PM a.s.,dermia - areál pm,0.52
DERMIA Vladimír Konrád,dermia vladimír konrád,0.46
Dermia – Vladimír Kondrád,dermia – vladimír kondrád,0.94
ДЕРЖАВНА ЦЕНТРАЛЬНА РАЙОННА АПТЕКА №33 ЛЮБЕШІВСЬКОГО РАЙОНУ,deržavna centralьna raйonna apteka №33 lюbešіvsьkogo raйonu,0.24
Desafios Em Sintonia - Unipessoal Lda,desafios em sintonia - unipessoal,0.28
"ООО ""ДЕСАН""",desan,0.26
Descours et Cabaud — Prolians,descours et cabaud — prolians,0.29
"Desentop Ambiente - Gestão Global de Serviços e Resíduos, Un...","desentop ambiente - gestão global de serviços e resíduos, un",0.25
"Desentope e Protege, Lda",desentope e protege,0.35
Desfilapainel Lda,desfilapainel,0.31
Design system,design system,0.46
Design System,design system,1.00
"Designar, Lda",designar,0.57
"Desinfad'ouro, Lda",desinfadouro,0.70
"Desinfestex - Agro, S.A",desinfestex - agro,0.60
"Desipest, Unipessoal, Lda","desipest, unipessoal",0.47
Desitejo-Desinfecções do Sul Lda,desitejo-desinfecções do sul,0.46
Deslumbrantorbis - Unipessoal Lda,deslumbrantorbis - unipessoal,0.32
"ООО ""ДЕСПИ""",despi,0.24
"Destilaria Levira, Lda",destilaria levira,0.36
"DESUL, SL",desul,0.36
DetailMasters by Detail Labs GmbH,detailmasters by detail labs,0.18
Deterquimica-Especialidades Quimicas Lda,deterquimica-especialidades quimicas,0.28
"Deterwater - Comercio e Serviços de Detergentes, Unipessoal...","deterwater - comercio e serviços de detergentes, unipessoal",0.29
"ООО ""ДЕТСКОЕ ПИТАНИЕ""",detskoe pitanie,0.30
Deusche Filmversicherungsgemeinschaft,deusche filmversicherungsgemeinschaft,0.27
Deutsche Post AG,deutsche post ag,0.38
Deux Ponts,deux ponts,0.54
DEVA F-M. s.r.o.,deva f-m,0.33
Deveaux SAS,deveaux sas,0.53
Девкин Александр Александрович,devkin aleksandr aleksandrovič,0.34
DEXTER COM S.R.L.,dexter com,0.30
Dexter Com S.R.L.,dexter com,1.00
"Dextromedica, S. L.",dextromedica,0.64
DEXTROMEDICA SL,dextromedica,1.00
DEY-CHIMICE SRL,dey-chimice,0.43
Deyna,deyna,0.38
"ООО ""ДЕЗ ГРУПП""",dez grupp,0.29
"ООО ""ДЕЗСЕРВИС""",dez-servis,0.42
"ООО ""ДЕЗ-СЕРВИС""",dez-servis,1.00
"ООО "" ДЕЗСЕРВИС""",dez-servis,1.00
"ООО ""ДЕЗ-ЭКСПЕРТ""",dez-эkspert,0.67
"ООО ""ДЕЗЦЕНТР""",dezcentr,0.53
"ООО ""ДЕЗДЕЛО""",dezdelo,0.53
Dezfarmteh SRL,dezfarmteh,0.47
"ООО ""ДЕЗХОЛДИНГ""",dezholding,0.40
"ООО ""ДЕЗИФ""",dezif,0.53
"ООО ""ДЕЗИКО""",deziko,0.73
"ООО ""ДЕЗИНФЕКЦИОНИСТ""",dezinfekcionist,0.57
"ООО ""ДЕЗИНФЕКЦИЯ ДЛЯ ВАС""",dezinfekciя dlя vas,0.65
„Дезинфекция“ ЕООД,dezinfekciя eood,0.74
"ООО ""ДЕЗКОНТРАКТ""",dezkontrakt,0.37
"ООО ""ДЕЗЛАБ""",dezlab,0.47
"ООО ""ДЕЗМЕД""",dezmed,0.50
Dezmed-CV SRL,dezmed-cv,0.80
"ООО ""ДЕЗМЕДСЕРВИС""",dezmedservis,0.67
"ООО ""ДЕЗПРЕМИУМ""",dezpremium,0.45
"ООО ""ДЕЗПРОФФ""",dezproff,0.56
"ООО ""ДЕЗПРОФИЛЬ ПЛЮС""",dezprofilь plюs,0.61
"ООО ""ДЕЗРЕЗЕРВ""",dezrezerv,0.33
"ООО ""ДЕЗСНАБ-ТРЕЙД""",dezsnab-treйd,0.45
"ООО ""ДЕЗВИТ-ТРЕЙД""",dezvit-treйd,0.72
"Df Logística, Lda",df logística,0.17
"DF Partner, s.r.o.",df partner,0.36
"Dgf - Industria de Aluminios, Lda",dgf - industria de aluminios,0.26
"ООО ""ДГМ-УРАЛ""",dgm-ural,0.39
"DHL Express Spain, S. L.",dhl express spain,0.16
DHL Information Services (Europe) s.r.o.,dhl information services (europe),0.24
"Dholetec, Lda",dholetec,0.24
"ООО ""ДХЗ - ПРОИЗВОДСТВО""",dhz - proizvodstvo,0.31
Di Simone RS dooel,di simone rs dooel,0.22
"ООО ""ДИ ЭР ДЖИ КЕЙС""",di эr dži keйs,0.44
"ООО ""ДИА-ХЕЛП""",dia-help,0.27
DIAFARM SRL,diafarm,0.40
Diaflux GmbH,diaflux,0.57
Diagenode SA,diagenode,0.38
Diagnostica Longwood Sl - Sucursal Emportugal,diagnostica longwood sl - sucursal emportugal,0.30
Diagnostics for the Real World,diagnostics for the real world,0.51
Diagnostics for the Real World Ltd,diagnostics for the real world,0.94
"ООО ""ДИАГНОСТИКА""",diagnostika,0.44
"ООО ""ДИАГНОСТИКА М""",diagnostika m,0.92
"ООО ""ДИАГНОСТИКФАРМ""",diagnostikfarm,0.89
"ООО ""ДИАГНОСТИКС""",diagnostiks,0.80
"UAB ""Diagnostinės sistemos""",diagnostinės sistemos,0.63
"ООО "" ДИАГНОСТИЧЕСКИЕ СИСТЕМЫ - СИБИРЬ """,diagnostičeskie sistemы - sibirь,0.68
"ООО ""ДИАГНОСТИЧЕСКИЕ СИСТЕМЫ - СТОЛИЦА""",diagnostičeskie sistemы - stolica,0.86
Diagonalspider - Unipessoal Lda,diagonalspider - unipessoal,0.43
"ООО ""ДИАКОН-М""",diakon-m,0.34
"ООО ""ДИАЛАН""",dialan,0.57
"ООО ""ДИАЛОГ ПЛЮС""",dialog plюs,0.47
"ООО ""ДИАЛОГ-КОНВЕРСИЯ""",dialog-konversiя,0.52
Diamantino & Teresa Lda,diamantino & teresa,0.40
Diamantino Coelho & Filho S.A,diamantino coelho & filho,0.59
ООО ДИАМЕД,diamed,0.32
UAB „Diamedica“,diamedica,0.80
Diamedica Ltd,diamedica ltd,0.82
Diamedix Impex,diamedix impex,0.59
Дианов Дмитрий Викторович,dianov dmitriй viktorovič,0.26
DIAPATH SpA,diapath spa,0.28
Dias & Dinis - Soluções Para Imagiologia Lda,dias & dinis - soluções para imagiologia,0.27
Dias & Vicentes Lda,dias & vicentes,0.40
Dias da Costa Corretores de Seguros Lda,dias da costa corretores de seguros,0.40
Dias de Sousa - Instrumentação Analitica e Cientifica S.A,dias de sousa - instrumentação analitica e cientifica,0.25
Dias Fáceis - Unipessoal Lda,dias fáceis - unipessoal,0.39
DIASORIN IBERIA SA,diasorin iberia,0.31
"Diasorin Iberia, S.A, - Sucursal Em Portugal","diasorin iberia, s.a, - sucursal em portugal",0.51
Diasorin Spa,diasorin spa,0.43
Diasorin SpA,diasorin spa,1.00
Diatech Pharmacogenetics,diatech pharmacogenetics,0.33
"ООО ""ДИАТЕК""",diatek,0.33
"ООО ""ДИАЭМ""",diaэm,0.55
"Dicasi - Brands, S.A",dicasi - brands,0.30
Dico Filtro - Comércio de Equipamento de Climatização e Afin...,dico filtro - comércio de equipamento de climatização e afin,0.24
DID Diagnostic International Distribution SpA,did diagnostic international distribution spa,0.27
Didaks dooel,didaks dooel,0.28
"Didatiárea, Unipessoal Lda","didatiárea, unipessoal",0.35
"Diemer, S. L.",diemer,0.29
"Digibox, Unipessoal Lda","digibox, unipessoal",0.24
Digimago - Marketing e Publicidade Lda,digimago - marketing e publicidade,0.23
"UAB ""Digimaksas""",digimaksas,0.36
"Diginfor - Soluções Informáticas Empresariais, Lda",diginfor - soluções informáticas empresariais,0.25
"Digit All, Lda",digit all,0.26
DIGITAL FINANCIAL SOLUTION SRL,digital financial solution,0.46
Digitmarket - Sistemas de Informação S.A,digitmarket - sistemas de informação,0.35
Digitsigma Lda,digitsigma,0.39
"ООО ""ДИКС - ДЕНТ""",diks - dent,0.29
"ООО ""ДИКСИ""",diksi,0.50
"ООО ""ДИКСИОН-ИСЕТЬ""",diksion-isetь,0.56
"ООО ""ДИКСИОН-САМАРА""",diksion-samara,0.67
"Dilefra, Sociedade Unipessoal Lda","dilefra, sociedade unipessoal",0.19
"Dillers, S. A.",dillers,0.22
"Dilofar - Distribuição, Transportes e Logística Lda","dilofar - distribuição, transportes e logística",0.19
Dimas,dimas,0.15
"Dimatur, Comércio Internacional Lda","dimatur, comércio internacional",0.22
"ООО ""ДИМЕТРА""",dimetra,0.32
"Dimor Lusitana - Comércio de Produtos de Saúde e Higiene, Ld...","dimor lusitana - comércio de produtos de saúde e higiene, ld",0.15
Dimorasept - Higiene Médica-Hospitalar Lda,dimorasept - higiene médica-hospitalar,0.37
"ООО ""ДИНА""",dina,0.19
"DINA - HITEX, spol. s r.o.","dina - hitex, spol. s r.o",0.28
Dina Med Impex,dina med impex,0.46
"ООО ""ДИНА МЕДИКАЛ""",dina medikal,0.69
"Dina Vitória Romba Guerreiro Venâncio, Unipessoal Lda","dina vitória romba guerreiro venâncio, unipessoal",0.26
"Dinamica Trade, Unipessoal Lda","dinamica trade, unipessoal",0.59
"Dinamiklider, Lda",dinamiklider,0.42
Dinarte Damaso & Filhos Lda,dinarte damaso & filhos,0.29
Dinastia da Razão - Unipessoal Lda,dinastia da razão - unipessoal,0.53
"Dinis & Mesquita Saúde, Lda",dinis & mesquita saúde,0.35
"Dinâmica do Tempo, Unipessoal Lda","dinâmica do tempo, unipessoal",0.35
Dinâmicanima - Lda,dinâmicanima -,0.51
"Diogo, Neto, Marques & Associados - Sociedade De Advogados, Rl","diogo, neto, marques & associados - sociedade de advogados, rl",0.18
"ООО ""ДИОНА""",diona,0.15
Diprolar-Distribuição de Produtos Para O Lar Lda,diprolar-distribuição de produtos para o lar,0.16
Dipteratech,dipteratech,0.25
Direct Access Consultancy Ltd,direct access consultancy ltd,0.25
DIRECT ALPINE s.r.o.,direct alpine,0.48
Direct chimie,direct chimie,0.69
Direct Corporate Clothing Plc,direct corporate clothing plc,0.48
Direct Corporate Clothing plc,direct corporate clothing plc,1.00
"Dirtec - Montagem, Manutenção de Elevadores e Representações...","dirtec - montagem, manutenção de elevadores e representações",0.18
"Diseños y Aplicaciones del no Tejidos, S. L.",diseños y aplicaciones del no tejidos,0.33
DISEÑOS Y APLICACIONES DEL NO TEJIDO SL.,diseños y aplicaciones del no tejidos,1.00
"ООО ""ДИСКОНТ""",diskont,0.27
DISMED SA,dismed,0.46
"Dismed, S. A.",dismed,1.00
"Dismed - Transporte de Mercadorias, S.A",dismed - transporte de mercadorias,0.30
"UAB ""Disposa""",disposa,0.29
Dispositivi Protezione Individuale S.r.l.,dispositivi protezione individuale,0.34
Dispromedi - Produtos e Equipamentos Médicos Lda,dispromedi - produtos e equipamentos médicos,0.33
"Distr-Inf.tec. - Tecnologias de Informação e Multimédia, Lda...",distr-inf.tec. - tecnologias de informação e multimédia,0.40
"Distrialfa, Lda",distrialfa,0.28
Distrib. Aragonesa del Polieter S.L.U.,distrib. aragonesa del polieter s.l.u,0.34
DISTRIBUIDORA ASTURIANA DE ACCESORIOS DEL ALUMINIO SL,distribuidora asturiana de accesorios del aluminio,0.44
"Distridanha - Supermercados, Limitada","distridanha - supermercados, limitada",0.46
Distrigrande - Supermercados Lda,distrigrande - supermercados,0.74
Distrilis-Distribuidora de Produtos Quimicos Lda,distrilis-distribuidora de produtos quimicos,0.44
Distrimed SRL,distrimed,0.26
Distriparedes - Supermercados Lda,distriparedes - supermercados,0.42
Dita EstFarm SRL,dita estfarm,0.39
DITA výrobní družstvo invalidů,dita výrobní družstvo invalidů,0.38
"Ditado Aveludado, Lda",ditado aveludado,0.43
"ООО ""ДИТИС""",ditis,0.29
Ditta individuale di Pizzocri Nicolò,ditta individuale di pizzocri nicolò,0.20
Divercentro-Sistemas de Diversão Em Tecnologias Avançadas Ld...,divercentro-sistemas de diversão em tecnologias avançadas ld,0.29
Divers Consulting Grup S.R.L.,divers consulting grup,0.29
"Diversa Soluções, Unipessoal, Lda","diversa soluções, unipessoal",0.44
"Diversey España, S. L.",diversey españa,0.51
Diversey Nederland,diversey nederland,0.67
"Diversey Portugal-Sistemas de Higiene e Limpeza Unipessoal, Lda",diversey portugal-sistemas de higiene e limpeza unipessoal,0.34
Divinal Opportunity Lda,divinal opportunity,0.29
"Divisa IT, S.A.U.","divisa it, s.a.u",0.46
"Divisioncare Unipessoal, Lda",divisioncare unipessoal,0.41
"ООО ""ДИВИЗИОН-С""",divizion-s,0.48
"ООО ""ДИВО ОФИС""",divo ofis,0.53
Divulgnorte - Publicidade e Marketing Lda,divulgnorte - publicidade e marketing,0.26
"Divultec - Serviços de Informática, Lda",divultec - serviços de informática,0.45
"UAB ""DIZAINO AMBASADA""",dizaino ambasada,0.24
"Diário de Aveiro, Lda",diário de aveiro,0.44
Diários e Binários - Unipessoal Lda,diários e binários - unipessoal,0.51
Дичакова Светлана Юрьевна,dičakova svetlana юrьevna,0.14
"ООО ""ДЛН ГРУПП""",dln grupp,0.29
Dlouhy,dlouhy,0.40
"ООО ""ДМ""",dm,0.25
"Dm Carvalho, Lda",dm carvalho,0.31
DM Drogeriemarkt,dm drogeriemarkt,0.37
"UAB ""DM inter""",dm inter,0.42
"ООО ""ДМ-ГРУПП""",dm-grupp,0.38
"Dmc - Comércio De Produtos De Higiene E Limpeza, Lda (Dissolução)","dmc - comércio de produtos de higiene e limpeza, lda (dissolução)",0.16
DMF OFFICE DOO TUZLA,dmf office doo tuzla,0.26
Дмитриев Алексей Иванович,dmitriev alekseй ivanovič,0.22
Дмитриева Елена Тимофеевна,dmitrieva elena timofeevna,0.51
"ООО ""ДМС-ВК""",dms-vk,0.19
"Dmsoftware, Aplicações e Equipamentos Medicos, Unipessoal Ld...","dmsoftware, aplicações e equipamentos medicos, unipessoal ld",0.09
DnaNudge Ltd,dnanudge ltd,0.17
UAB „DND Talis“,dnd talis,0.48
"UAB ""DND Talis""",dnd talis,1.00
"ООО ""ДНК-ТЕХНОЛОГИЯ""",dnk-tehnologiя,0.43
Dobnik Trade trgovina in storitve d.o.o.,dobnik trade trgovina in storitve,0.13
DOBNIK TRADE trgovina in storitve d.o.o.,dobnik trade trgovina in storitve,1.00
"ООО ""ДОБРОТА.НТ""",dobrota.nt,0.33
